Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Results,Winning Team,Win conditions,MatchID,Home Team Initials,Away Team Initials
1966,12 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Russia,3,0,Korea Republic,H,Russia, ,1710,URS,PRK
1966,13 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,France,1,1,Mexico,D,Draw, ,1650,FRA,MEX
1966,13 Jul 1966 - 19:30 ,Group 3,Old Trafford Stadium,Manchester ,Portugal,3,1,Hungary,H,Portugal, ,1675,POR,HUN
1966,13 Jul 1966 - 19:30 ,Group 2,Villa Park,Birmingham ,Argentina,2,1,Spain,H,Argentina, ,1578,ARG,ESP
1966,13 Jul 1966 - 19:30 ,Group 4,Roker Park Ground,Sunderland ,Italy,2,0,Chile,H,Italy, ,1608,ITA,CHI
1966,15 Jul 1966 - 19:30 ,Group 1,White City,London ,Uruguay,2,1,France,H,Uruguay, ,1653,URU,FRA
1966,15 Jul 1966 - 19:30 ,Group 2,Hillsborough,Sheffield ,Spain,2,1,Switzerland,H,Spain, ,1641,ESP,SUI
1966,15 Jul 1966 - 19:30 ,Group 3,Goodison Park,Liverpool ,Hungary,3,1,Brazil,H,Hungary, ,1597,HUN,BRA
1966,15 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Korea Republic,1,1,Chile,D,Draw, ,1609,PRK,CHI
1966,16 Jul 1966 - 15:00 ,Group 3,Old Trafford Stadium,Manchester ,Portugal,3,0,Bulgaria,H,Portugal, ,1602,POR,BUL
1966,16 Jul 1966 - 15:00 ,Group 2,Villa Park,Birmingham ,Germany,0,0,Argentina,D,Draw, ,1579,FRG,ARG
1966,16 Jul 1966 - 15:00 ,Group 4,Roker Park Ground,Sunderland ,Russia,1,0,Italy,H,Russia, ,1682,URS,ITA
1966,16 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,England,2,0,Mexico,H,England, ,1634,ENG,MEX
1966,19 Jul 1966 - 16:30 ,Group 1,Wembley Stadium,London ,Uruguay,0,0,Mexico,D,Draw, ,1689,URU,MEX
1966,19 Jul 1966 - 19:30 ,Group 2,Hillsborough,Sheffield ,Argentina,2,0,Switzerland,H,Argentina, ,1582,ARG,SUI
1966,19 Jul 1966 - 19:30 ,Group 3,Goodison Park,Liverpool ,Portugal,3,1,Brazil,H,Portugal, ,1598,POR,BRA
1966,19 Jul 1966 - 19:30 ,Group 4,Ayresome Park,Middlesbrough ,Korea Republic,1,0,Italy,H,Korea Republic, ,1679,PRK,ITA
1966,20 Jul 1966 - 19:30 ,Group 1,Wembley Stadium,London ,England,2,0,France,H,England, ,1632,ENG,FRA
1966,20 Jul 1966 - 19:30 ,Group 3,Old Trafford Stadium,Manchester ,Hungary,3,1,Bulgaria,H,Hungary, ,1599,HUN,BUL
1966,20 Jul 1966 - 19:30 ,Group 2,Villa Park,Birmingham ,Germany,2,1,Spain,H,Germany, ,1637,FRG,ESP
1966,20 Jul 1966 - 19:30 ,Group 4,Roker Park Ground,Sunderland ,Russia,2,1,Chile,H,Russia, ,1610,URS,CHI
1966,23 Jul 1966 - 15:00 ,Quarter-finals,Wembley Stadium,London ,England,1,0,Argentina,H,England, ,1577,ENG,ARG
1966,23 Jul 1966 - 15:00 ,Quarter-finals,Hillsborough,Sheffield ,Germany,4,0,Uruguay,H,Germany, ,1660,FRG,URU
1966,23 Jul 1966 - 15:00 ,Quarter-finals,Roker Park Ground,Sunderland ,Russia,2,1,Hungary,H,Russia, ,1676,URS,HUN
1966,23 Jul 1966 - 15:00 ,Quarter-finals,Goodison Park,Liverpool ,Portugal,5,3,Korea Republic,H,Portugal, ,1702,POR,PRK
1966,25 Jul 1966 - 19:30 ,Semi-finals,Goodison Park,Liverpool ,Germany,2,1,Russia,H,Germany, ,1659,FRG,URS
1966,26 Jul 1966 - 19:30 ,Semi-finals,Wembley Stadium,London ,England,2,1,Portugal,H,England, ,1635,ENG,POR
1966,28 Jul 1966 - 19:30 ,Match for third place,Wembley Stadium,London ,Portugal,2,1,Russia,H,Portugal, ,1709,POR,URS
1966,30 Jul 1966 - 15:00 ,Final,Wembley Stadium,London ,England,4,2,Germany,H,England,England win after extra time ,1633,ENG,FRG
1970,31 May 1970 - 12:00 ,Group 1,Estadio Azteca,Mexico City ,Mexico,0,0,Russia,D,Draw, ,1902,MEX,URS
1970,02 Jun 1970 - 16:00 ,Group 2,Cuauhtemoc,Puebla ,Uruguay,2,0,Israel,H,Uruguay, ,1881,URU,ISR
1970,02 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Peru,3,2,Bulgaria,H,Peru, ,1780,PER,BUL
1970,02 Jun 1970 - 16:00 ,Group 3,Jalisco,Guadalajara ,England,1,0,Romania,H,England, ,1812,ENG,ROU
1970,03 Jun 1970 - 16:00 ,Group 2,Luis Dosal,Toluca ,Italy,1,0,Sweden,H,Italy, ,1883,ITA,SWE
1970,03 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Germany,2,1,Morocco,H,Germany, ,1839,FRG,MAR
1970,03 Jun 1970 - 16:00 ,Group 3,Jalisco,Guadalajara ,Brazil,4,1,Czech Republic,H,Brazil, ,1770,BRA,TCH
1970,03 Jun 1970 - 16:00 ,Group 1,Estadio Azteca,Mexico City ,Belgium,3,0,El Salvador,H,Belgium, ,1747,BEL,SLV
1970,06 Jun 1970 - 16:00 ,Group 2,Cuauhtemoc,Puebla ,Uruguay,0,0,Italy,D,Draw, ,1884,URU,ITA
1970,06 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Peru,3,0,Morocco,H,Peru, ,1893,PER,MAR
1970,06 Jun 1970 - 16:00 ,Group 3,Jalisco,Guadalajara ,Romania,2,1,Czech Republic,H,Romania, ,1919,ROU,TCH
1970,06 Jun 1970 - 16:00 ,Group 1,Estadio Azteca,Mexico City ,Russia,4,1,Belgium,H,Russia, ,1753,URS,BEL
1970,07 Jun 1970 - 12:00 ,Group 2,Luis Dosal,Toluca ,Sweden,1,1,Israel,D,Draw, ,1880,SWE,ISR
1970,07 Jun 1970 - 12:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Germany,5,2,Bulgaria,H,Germany, ,1774,FRG,BUL
1970,07 Jun 1970 - 12:00 ,Group 3,Jalisco,Guadalajara ,Brazil,1,0,England,H,Brazil, ,1764,BRA,ENG
1970,07 Jun 1970 - 12:00 ,Group 1,Estadio Azteca,Mexico City ,Mexico,4,0,El Salvador,H,Mexico, ,1820,MEX,SLV
1970,10 Jun 1970 - 16:00 ,Group 2,Cuauhtemoc,Puebla ,Sweden,1,0,Uruguay,H,Sweden, ,1922,SWE,URU
1970,10 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Germany,3,1,Peru,H,Germany, ,1840,FRG,PER
1970,10 Jun 1970 - 16:00 ,Group 3,Jalisco,Guadalajara ,Brazil,3,2,Romania,H,Brazil, ,1769,BRA,ROU
1970,10 Jun 1970 - 16:00 ,Group 1,Estadio Azteca,Mexico City ,Russia,2,0,El Salvador,H,Russia, ,1823,URS,SLV
1970,11 Jun 1970 - 16:00 ,Group 2,Luis Dosal,Toluca ,Italy,0,0,Israel,D,Draw, ,1877,ITA,ISR
1970,11 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Bulgaria,1,1,Morocco,D,Draw, ,1779,BUL,MAR
1970,11 Jun 1970 - 16:00 ,Group 3,Jalisco,Guadalajara ,England,1,0,Czech Republic,H,England, ,1813,ENG,TCH
1970,11 Jun 1970 - 16:00 ,Group 1,Estadio Azteca,Mexico City ,Mexico,1,0,Belgium,H,Mexico, ,1752,MEX,BEL
1970,14 Jun 1970 - 12:00 ,Quarter-finals,Luis Dosal,Toluca ,Italy,4,1,Mexico,H,Italy, ,1882,ITA,MEX
1970,14 Jun 1970 - 12:00 ,Quarter-finals,Nou Camp - Estadio Le�n,Leon ,Germany,3,2,England,H,Germany,Germany win after extra time ,1811,FRG,ENG
1970,14 Jun 1970 - 12:00 ,Quarter-finals,Jalisco,Guadalajara ,Brazil,4,2,Peru,H,Brazil, ,1768,BRA,PER
1970,14 Jun 1970 - 12:00 ,Quarter-finals,Estadio Azteca,Mexico City ,Uruguay,1,0,Russia,H,Uruguay,Uruguay win after extra time ,1925,URU,URS
1970,17 Jun 1970 - 16:00 ,Semi-finals,Jalisco,Guadalajara ,Brazil,3,1,Uruguay,H,Brazil, ,1771,BRA,URU
1970,17 June 1970 - 16:00 ,Semi-finals,Estadio Azteca,Mexico City ,Italy,4,3,Germany,H,Italy,Italy win after extra time ,1838,ITA,FRG
1970,20 Jun 1970 - 16:00 ,Match for third place,Estadio Azteca,Mexico City ,Germany,1,0,Uruguay,H,Germany, ,1843,FRG,URU
1970,21 Jun 1970 - 12:00 ,Final,Estadio Azteca,Mexico City ,Brazil,4,1,Italy,H,Brazil, ,1765,BRA,ITA
1974,13 Jun 1974 - 17:00 ,Group 2,Waldstadion,Frankfurt/Main ,Brazil,0,0,Yugoslavia,D,Draw, ,1986,BRA,YUG
1974,14 Jun 1974 - 16:00 ,Group 1,Olympiastadion,Berlin West ,Germany,1,0,Chile,H,Germany, ,2003,FRG,CHI
1974,14 Jun 1974 - 19:30 ,Group 1,Volksparkstadion,Hamburg ,Germany,2,0,Australia,H,Germany, ,1955,GDR,AUS
1974,14 Jun 1974 - 19:30 ,Group 2,Westfalenstadion,Dortmund ,Zaire,0,2,Scotland,A,Scotland, ,2176,ZAI,SCO
1974,15 Jun 1974 - 16:00 ,Group 3,Niedersachsenstadion,Hanover ,Uruguay,0,2,Netherlands,A,Netherlands, ,2098,URU,NED
1974,15 Jun 1974 - 16:00 ,Group 3,Rheinstadion,D�Sseldorf ,Sweden,0,0,Bulgaria,D,Draw, ,1995,SWE,BUL
1974,15 Jun 1974 - 18:00 ,Group 4,Olympiastadion,Munich ,Italy,3,1,Haiti,H,Italy, ,2083,ITA,HAI
1974,15 Jun 1974 - 18:00 ,Group 4,Neckarstadion,Stuttgart ,Poland,3,2,Argentina,H,Poland, ,1952,POL,ARG
1974,18 Jun 1974 - 16:00 ,Group 1,Volksparkstadion,Hamburg ,Australia,0,3,Germany,A,Germany, ,1954,AUS,FRG
1974,18 Jun 1974 - 19:30 ,Group 2,Waldstadion,Frankfurt/Main ,Scotland,0,0,Brazil,D,Draw, ,1985,SCO,BRA
1974,18 Jun 1974 - 19:30 ,Group 1,Olympiastadion,Berlin West ,Chile,1,1,Germany,D,Draw, ,2004,CHI,GDR
1974,18 Jun 1974 - 19:30 ,Group 2,Parkstadion,Gelsenkirchen ,Yugoslavia,9,0,Zaire,H,Yugoslavia, ,2186,YUG,ZAI
1974,19 Jun 1974 - 19:30 ,Group 3,Westfalenstadion,Dortmund ,Netherlands,0,0,Sweden,D,Draw, ,2097,NED,SWE
1974,19 Jun 1974 - 19:30 ,Group 3,Niedersachsenstadion,Hanover ,Bulgaria,1,1,Uruguay,D,Draw, ,1996,BUL,URU
1974,19 Jun 1974 - 19:30 ,Group 4,Olympiastadion,Munich ,Haiti,0,7,Poland,A,Poland, ,2085,HAI,POL
1974,19 Jun 1974 - 19:30 ,Group 4,Neckarstadion,Stuttgart ,Argentina,1,1,Italy,D,Draw, ,1949,ARG,ITA
1974,22 Jun 1974 - 16:00 ,Group 2,Waldstadion,Frankfurt/Main ,Scotland,1,1,Yugoslavia,D,Draw, ,2175,SCO,YUG
1974,22 Jun 1974 - 16:00 ,Group 1,Olympiastadion,Berlin West ,Australia,0,0,Chile,D,Draw, ,1953,AUS,CHI
1974,22 Jun 1974 - 16:00 ,Group 2,Parkstadion,Gelsenkirchen ,Zaire,0,3,Brazil,A,Brazil, ,1987,ZAI,BRA
1974,22 June 1974 - 19:30 ,Group 1,Volksparkstadion,Hamburg ,Germany,1,0,Germany,H,Germany, ,2062,GDR,FRG
1974,23 Jun 1974 - 16:00 ,Group 3,Westfalenstadion,Dortmund ,Bulgaria,1,4,Netherlands,A,Netherlands, ,1990,BUL,NED
1974,23 Jun 1974 - 16:00 ,Group 4,Olympiastadion,Munich ,Argentina,4,1,Haiti,H,Argentina, ,1947,ARG,HAI
1974,23 Jun 1974 - 16:00 ,Group 3,Rheinstadion,D�Sseldorf ,Sweden,3,0,Uruguay,H,Sweden, ,2181,SWE,URU
1974,23 Jun 1974 - 16:00 ,Group 4,Neckarstadion,Stuttgart ,Poland,2,1,Italy,H,Poland, ,2129,POL,ITA
1974,26 Jun 1974 - 16:00 ,Group B,Rheinstadion,D�Sseldorf ,Yugoslavia,0,2,Germany,A,Germany, ,2066,YUG,FRG
1974,26 Jun 1974 - 19:30 ,Group A,Niedersachsenstadion,Hanover ,Brazil,1,0,Germany,H,Brazil, ,1982,BRA,GDR
1974,26 Jun 1974 - 19:30 ,Group A,Parkstadion,Gelsenkirchen ,Netherlands,4,0,Argentina,H,Netherlands, ,1948,NED,ARG
1974,26 Jun 1974 - 19:30 ,Group B,Neckarstadion,Stuttgart ,Sweden,0,1,Poland,A,Poland, ,2167,SWE,POL
1974,30 Jun 1974 - 16:00 ,Group A,Niedersachsenstadion,Hanover ,Argentina,1,2,Brazil,A,Brazil, ,1945,ARG,BRA
1974,30 Jun 1974 - 16:00 ,Group B,Waldstadion,Frankfurt/Main ,Poland,2,1,Yugoslavia,H,Poland, ,2170,POL,YUG
1974,30 Jun 1974 - 16:00 ,Group A,Parkstadion,Gelsenkirchen ,Germany,0,2,Netherlands,A,Netherlands, ,2067,GDR,NED
1974,30 Jun 1974 - 19:30 ,Group B,Rheinstadion,D�Sseldorf ,Germany,4,2,Sweden,H,Germany, ,2065,FRG,SWE
1974,03 Jul 1974 - 17:00 ,Group B,Waldstadion,Frankfurt/Main ,Poland,0,1,Germany,A,Germany, ,2064,POL,FRG
1974,03 Jul 1974 - 19:30 ,Group A,Westfalenstadion,Dortmund ,Netherlands,2,0,Brazil,H,Netherlands, ,1983,NED,BRA
1974,03 Jul 1974 - 19:30 ,Group A,Parkstadion,Gelsenkirchen ,Argentina,1,1,Germany,D,Draw, ,1946,ARG,GDR
1974,03 Jul 1974 - 19:30 ,Group B,Rheinstadion,D�Sseldorf ,Sweden,2,1,Yugoslavia,H,Sweden, ,2182,SWE,YUG
1974,06 Jul 1974 - 16:00 ,Match for third place,Olympiastadion,Munich ,Brazil,0,1,Poland,A,Poland, ,1984,BRA,POL
1974,07 July 1974 - 16:00 ,Final,Olympiastadion,Munich ,Netherlands,1,2,Germany,A,Germany, ,2063,NED,FRG
1978,01 Jun 1978 - 15:00 ,Group 2,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Germany,0,0,Poland,D,Draw, ,2351,FRG,POL
1978,02 Jun 1978 - 13:45 ,Group 1,Estadio Jos� Mar�a Minella,Mar Del Plata ,Italy,2,1,France,H,Italy, ,2347,ITA,FRA
1978,02 Jun 1978 - 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Tunisia,3,1,Mexico,H,Tunisia, ,2433,TUN,MEX
1978,02 Jun 1978 - 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,2,1,Hungary,H,Argentina, ,2199,ARG,HUN
1978,03 Jun 1978 - 13:45 ,Group 3,Estadio Jos� Mar�a Minella,Mar Del Plata ,Sweden,1,1,Brazil,D,Draw, ,2253,SWE,BRA
1978,03 Jun 1978 - 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Austria,2,1,Spain,H,Austria, ,2216,AUT,ESP
1978,03 Jun 1978 - 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Peru,3,1,Scotland,H,Peru, ,2451,PER,SCO
1978,03 Jun 1978 - 16:45 ,Group 4,San Martin,Mendoza ,Netherlands,3,0,Iran,H,Netherlands, ,2388,NED,IRN
1978,06 Jun 1978 - 13:45 ,Group 1,Estadio Jos� Mar�a Minella,Mar Del Plata ,Italy,3,1,Hungary,H,Italy, ,2396,ITA,HUN
1978,06 Jun 1978 - 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Poland,1,0,Tunisia,H,Poland, ,2454,POL,TUN
1978,06 Jun 1978 - 16:45 ,Group 2,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany,6,0,Mexico,H,Germany, ,2350,FRG,MEX
1978,06 Jun 1978 - 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,2,1,France,H,Argentina, ,2197,ARG,FRA
1978,07 Jun 1978 - 13:45 ,Group 3,Estadio Jos� Mar�a Minella,Mar Del Plata ,Brazil,0,0,Spain,D,Draw, ,2246,BRA,ESP
1978,07 Jun 1978 - 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Austria,1,0,Sweden,H,Austria, ,2224,AUT,SWE
1978,07 Jun 1978 - 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Scotland,1,1,Iran,D,Draw, ,2408,SCO,IRN
1978,07 Jun 1978 - 16:45 ,Group 4,San Martin,Mendoza ,Netherlands,0,0,Peru,D,Draw, ,2394,NED,PER
1978,10 Jun 1978 - 15:10 ,Group 1,Estadio Jos� Mar�a Minella,Mar Del Plata ,France,3,1,Hungary,H,France, ,2344,FRA,HUN
1978,10 Jun 1978 - 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Poland,3,1,Mexico,H,Poland, ,2431,POL,MEX
1978,10 Jun 1978 - 16:45 ,Group 2,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany,0,0,Tunisia,D,Draw, ,2352,FRG,TUN
1978,10 Jun 1978 - 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Italy,1,0,Argentina,H,Italy, ,2200,ITA,ARG
1978,11 Jun 1978 - 13:45 ,Group 3,Estadio Jos� Mar�a Minella,Mar Del Plata ,Brazil,1,0,Austria,H,Brazil, ,2215,BRA,AUT
1978,11 Jun 1978 - 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Spain,1,0,Sweden,H,Spain, ,2337,ESP,SWE
1978,11 Jun 1978 - 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Peru,4,1,Iran,H,Peru, ,2405,PER,IRN
1978,11 Jun 1978 - 16:45 ,Group 4,San Martin,Mendoza ,Scotland,3,2,Netherlands,H,Scotland, ,2395,SCO,NED
1978,14 Jun 1978 - 13:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Germany,0,0,Italy,D,Draw, ,2349,FRG,ITA
1978,14 Jun 1978 - 13:45 ,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Netherlands,5,1,Austria,H,Netherlands, ,2220,NED,AUT
1978,14 Jun 1978 - 16:45 ,Group B,San Martin,Mendoza ,Brazil,3,0,Peru,H,Brazil, ,2251,BRA,PER
1978,14 Jun 1978 - 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,2,0,Poland,H,Argentina, ,2202,ARG,POL
1978,18 Jun 1978 - 13:45 ,Group B,San Martin,Mendoza ,Poland,1,0,Peru,H,Poland, ,2450,POL,PER
1978,18 Jun 1978 - 16:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Italy,1,0,Austria,H,Italy, ,2221,ITA,AUT
1978,18 Jun 1978 - 16:45 ,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany,2,2,Netherlands,D,Draw, ,2348,FRG,NED
1978,18 Jun 1978 - 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,0,0,Brazil,D,Draw, ,2196,ARG,BRA
1978,21 Jun 1978 - 13:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Netherlands,2,1,Italy,H,Netherlands, ,2391,NED,ITA
1978,21 Jun 1978 - 13:45 ,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Austria,3,2,Germany,H,Austria, ,2217,AUT,FRG
1978,21 Jun 1978 - 16:45 ,Group B,San Martin,Mendoza ,Brazil,3,1,Poland,H,Brazil, ,2252,BRA,POL
1978,21 Jun 1978 - 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,6,0,Peru,H,Argentina, ,2201,ARG,PER
1978,24 Jun 1978 - 15:00 ,Match for third place,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Brazil,2,1,Italy,H,Brazil, ,2247,BRA,ITA
1978,25 Jun 1978 - 15:00 ,Final,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,3,1,Netherlands,H,Argentina,Argentina win after extra time ,2198,ARG,NED
1982,13 Jun 1982 - 20:00 ,Group 3,Camp Nou,Barcelona ,Argentina,0,1,Belgium,A,Belgium, ,749,ARG,BEL
1982,14 Jun 1982 - 17:15 ,Group 1,Estadio Municipal de Bala�dos,Vigo ,Italy,0,0,Poland,D,Draw, ,995,ITA,POL
1982,14 Jun 1982 - 21:00 ,Group 6,Ramon Sanchez Pizjuan,Seville ,Brazil,2,1,Russia,H,Brazil, ,791,BRA,URS
1982,15 Jun 1982 - 17:15 ,Group 1,Riazor,La Coru�A ,Peru,0,0,Cameroon,D,Draw, ,833,PER,CMR
1982,15 Jun 1982 - 21:00 ,Group 3,Nuevo Estadio,Elche ,Hungary,10,1,El Salvador,H,Hungary, ,896,HUN,SLV
1982,15 Jun 1982 - 21:00 ,Group 6,La Rosaleda,Malaga ,Scotland,5,2,New Zealand,H,Scotland, ,1051,SCO,NZL
1982,16 Jun 1982 - 17:15 ,Group 2,El Molinon,Gijon ,Germany,1,2,Algeria,A,Algeria, ,741,FRG,ALG
1982,16 Jun 1982 - 17:15 ,Group 4,San Mames,Bilbao ,England,3,1,France,H,England, ,878,ENG,FRA
1982,16 Jun 1982 - 21:00 ,Group 5,Luis Casanova,Valencia ,Spain,1,1,Honduras,D,Draw, ,901,ESP,HON
1982,17 Jun 1982 - 17:15 ,Group 2,Carlos Tartiere,Oviedo ,Chile,0,1,Austria,A,Austria, ,764,CHI,AUT
1982,17 Jun 1982 - 17:45 ,Group 4,Jose Zorrilla,Valladolid ,Czech Republic,1,1,Kuwait,D,Draw, ,1012,TCH,KUW
1982,17 Jun 1982 - 21:00 ,Group 5,La Romareda,Zaragoza ,Yugoslavia,0,0,Northern Ireland,D,Draw, ,1044,YUG,NIR
1982,18 Jun 1982 - 17:15 ,Group 1,Estadio Municipal de Bala�dos,Vigo ,Italy,1,1,Peru,D,Draw, ,994,ITA,PER
1982,18 Jun 1982 - 21:00 ,Group 3,Jose Rico Perez,Alicante ,Argentina,4,1,Hungary,H,Argentina, ,752,ARG,HUN
1982,18 Jun 1982 - 21:00 ,Group 6,Benito Villamarin,Seville ,Brazil,4,1,Scotland,H,Brazil, ,790,BRA,SCO
1982,19 Jun 1982 - 19:15 ,Group 1,Riazor,La Coru�A ,Poland,0,0,Cameroon,D,Draw, ,834,POL,CMR
1982,19 Jun 1982 - 21:00 ,Group 3,Nuevo Estadio,Elche ,Belgium,1,0,El Salvador,H,Belgium, ,774,BEL,SLV
1982,19 Jun 1982 - 21:00 ,Group 6,La Rosaleda,Malaga ,Russia,3,0,New Zealand,H,Russia, ,1054,URS,NZL
1982,20 Jun 1982 - 17:15 ,Group 2,El Molinon,Gijon ,Germany,4,1,Chile,H,Germany, ,813,FRG,CHI
1982,20 Jun 1982 - 17:15 ,Group 4,San Mames,Bilbao ,England,2,0,Czech Republic,H,England, ,889,ENG,TCH
1982,20 Jun 1982 - 21:00 ,Group 5,Luis Casanova,Valencia ,Spain,2,1,Yugoslavia,H,Spain, ,903,ESP,YUG
1982,21 Jun 1982 - 17:15 ,Group 2,Carlos Tartiere,Oviedo ,Algeria,0,2,Austria,A,Austria, ,739,ALG,AUT
1982,21 Jun 1982 - 17:15 ,Group 4,Jose Zorrilla,Valladolid ,France,4,1,Kuwait,H,France, ,919,FRA,KUW
1982,21 Jun 1982 - 21:00 ,Group 5,La Romareda,Zaragoza ,Honduras,1,1,Northern Ireland,D,Draw, ,959,HON,NIR
1982,22 Jun 1982 - 17:15 ,Group 1,Riazor,La Coru�A ,Poland,5,1,Peru,H,Poland, ,1055,POL,PER
1982,22 Jun 1982 - 21:00 ,Group 3,Nuevo Estadio,Elche ,Belgium,1,1,Hungary,D,Draw, ,779,BEL,HUN
1982,22 Jun 1982 - 21:00 ,Group 6,La Rosaleda,Malaga ,Russia,2,2,Scotland,D,Draw, ,1071,URS,SCO
1982,23 Jun 1982 - 17:15 ,Group 1,Estadio Municipal de Bala�dos,Vigo ,Italy,1,1,Cameroon,D,Draw, ,828,ITA,CMR
1982,23 Jun 1982 - 21:00 ,Group 3,Jose Rico Perez,Alicante ,Argentina,2,0,El Salvador,H,Argentina, ,751,ARG,SLV
1982,23 Jun 1982 - 21:00 ,Group 6,Benito Villamarin,Seville ,Brazil,4,0,New Zealand,H,Brazil, ,789,BRA,NZL
1982,24 Jun 1982 - 17:15 ,Group 2,Carlos Tartiere,Oviedo ,Algeria,3,2,Chile,H,Algeria, ,740,ALG,CHI
1982,24 Jun 1982 - 17:15 ,Group 4,Jose Zorrilla,Valladolid ,France,1,1,Czech Republic,D,Draw, ,922,FRA,TCH
1982,24 Jun 1982 - 21:00 ,Group 5,La Romareda,Zaragoza ,Honduras,0,1,Yugoslavia,A,Yugoslavia, ,962,HON,YUG
1982,25 Jun 1982 - 17:15 ,Group 2,El Molinon,Gijon ,Germany,1,0,Austria,H,Germany, ,770,FRG,AUT
1982,25 Jun 1982 - 17:15 ,Group 4,San Mames,Bilbao ,England,1,0,Kuwait,H,England, ,882,ENG,KUW
1982,25 Jun 1982 - 21:00 ,Group 5,Luis Casanova,Valencia ,Northern Ireland,1,0,Spain,H,Northern Ireland, ,902,NIR,ESP
