Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Results,Winning Team,Win conditions,MatchID,Home Team Initials,Away Team Initials
1982,28 Jun 1982 - 17:15 ,Group 4,Vicente Calderon,Madrid ,Austria,0,1,France,A,France, ,767,AUT,FRA
1982,28 Jun 1982 - 21:00 ,Group 1,Camp Nou,Barcelona ,Poland,3,0,Belgium,H,Poland, ,782,POL,BEL
1982,29 Jun 1982 - 17:15 ,Group 3,Sarria,Barcelona ,Italy,2,1,Argentina,H,Italy, ,753,ITA,ARG
1982,29 Jun 1982 - 21:00 ,Group 2,Santiago Bernabeu,Madrid ,Germany,0,0,England,D,Draw, ,879,FRG,ENG
1982,01 Jul 1982 - 17:15 ,Group 4,Vicente Calderon,Madrid ,Austria,2,2,Northern Ireland,D,Draw, ,771,AUT,NIR
1982,01 Jul 1982 - 21:00 ,Group 1,Camp Nou,Barcelona ,Belgium,0,1,Russia,A,Russia, ,783,BEL,URS
1982,02 Jul 1982 - 17:15 ,Group 3,Sarria,Barcelona ,Argentina,1,3,Brazil,A,Brazil, ,750,ARG,BRA
1982,02 Jul 1982 - 21:00 ,Group 2,Santiago Bernabeu,Madrid ,Germany,2,1,Spain,H,Germany, ,900,FRG,ESP
1982,04 Jul 1982 - 17:15 ,Group 4,Vicente Calderon,Madrid ,France,4,1,Northern Ireland,H,France, ,920,FRA,NIR
1982,04 Jul 1982 - 21:00 ,Group 1,Camp Nou,Barcelona ,Poland,0,0,Russia,D,Draw, ,1058,POL,URS
1982,05 Jul 1982 - 17:15 ,Group 3,Sarria,Barcelona ,Italy,3,2,Brazil,H,Italy, ,788,ITA,BRA
1982,05 Jul 1982 - 21:00 ,Group 2,Santiago Bernabeu,Madrid ,Spain,0,0,England,D,Draw, ,877,ESP,ENG
1982,08 Jul 1982 - 17:15 ,Semi-finals,Camp Nou,Barcelona ,Poland,0,2,Italy,A,Italy, ,996,POL,ITA
1982,08 Jul 1982 - 21:00 ,Semi-finals,Ramon Sanchez Pizjuan,Seville ,Germany,3,3,France,H,Draw, win on penalties (5 - 4) ,914,FRG,FRA
1982,10 Jul 1982 - 20:00 ,Match for third place,Jose Rico Perez,Alicante ,Poland,3,2,France,H,Poland, ,921,POL,FRA
1982,11 Jul 1982 - 20:00 ,Final,Santiago Bernabeu,Madrid ,Italy,3,1,Germany,H,Italy, ,923,ITA,FRG
1986,31 May 1986 - 12:00 ,Group A,Estadio Azteca,Mexico City ,Bulgaria,1,1,Italy,D,Draw, ,459,BUL,ITA
1986,01 Jun 1986 - 16:00 ,Group C,Nou Camp - Estadio Le�n,Leon ,Canada,0,1,France,A,France, ,468,CAN,FRA
1986,01 Jun 1986 - 12:00 ,Group D,Jalisco,Guadalajara ,Spain,0,1,Brazil,A,Brazil, ,439,ESP,BRA
1986,02 Jun 1986 - 12:00 ,Group C,Estadio Irapuato,Irapuato ,Russia,6,0,Hungary,H,Russia, ,610,URS,HUN
1986,02 Jun 1986 - 12:00 ,Group A,Estadio Ol�mpico Universitario,Mexico City ,Argentina,3,1,Korea Republic,H,Argentina, ,395,ARG,KOR
1986,02 Jun 1986 - 16:00 ,Group F,Estadio Universitario,Monterrey ,Morocco,0,0,Poland,D,Draw, ,674,MAR,POL
1986,03 Jun 1986 - 12:00 ,Group D,Tres de Marzo,Guadalajara ,Algeria,1,1,Northern Ireland,D,Draw, ,379,ALG,NIR
1986,03 Jun 1986 - 12:00 ,Group B,Estadio Azteca,Mexico City ,Belgium,1,2,Mexico,A,Mexico, ,428,BEL,MEX
1986,03 Jun 1986 - 16:00 ,Group F,Tecnologico,Monterrey ,Portugal,1,0,England,H,Portugal, ,538,POR,ENG
1986,04 Jun 1986 - 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca ,Paraguay,1,0,Iraq,H,Paraguay, ,628,PAR,IRQ
1986,04 Jun 1986 - 16:00 ,Group E,Neza,Nezahualcoyotl ,Scotland,0,1,Denmark,A,Denmark, ,517,SCO,DEN
1986,04 Jun 1986 - 12:00 ,Group E,Estadio Corregidora,Queretaro ,Uruguay,1,1,Germany,D,Draw, ,585,URU,FRG
1986,05 Jun 1986 - 12:00 ,Group A,Cuauhtemoc,Puebla ,Italy,1,1,Argentina,D,Draw, ,394,ITA,ARG
1986,05 Jun 1986 - 12:00 ,Group C,Nou Camp - Estadio Le�n,Leon ,France,1,1,Russia,D,Draw, ,571,FRA,URS
1986,05 Jun 1986 - 16:00 ,Group A,Estadio Ol�mpico Universitario,Mexico City ,Korea Republic,1,1,Bulgaria,D,Draw, ,460,KOR,BUL
1986,06 Jun 1986 - 12:00 ,Group C,Estadio Irapuato,Irapuato ,Hungary,2,0,Canada,H,Hungary, ,475,HUN,CAN
1986,06 Jun 1986 - 12:00 ,Group D,Jalisco,Guadalajara ,Brazil,1,0,Algeria,H,Brazil, ,377,BRA,ALG
1986,06 Jun 1986 - 16:00 ,Group F,Tecnologico,Monterrey ,England,0,0,Morocco,D,Draw, ,533,ENG,MAR
1986,07 Jun 1986 - 12:00 ,Group D,Tres de Marzo,Guadalajara ,Northern Ireland,1,2,Spain,A,Spain, ,551,NIR,ESP
1986,07 Jun 1986 - 12:00 ,Group B,Estadio Azteca,Mexico City ,Mexico,1,1,Paraguay,D,Draw, ,680,MEX,PAR
1986,07 Jun 1986 - 16:00 ,Group F,Estadio Universitario,Monterrey ,Poland,1,0,Portugal,H,Poland, ,701,POL,POR
1986,08 Jun 1986 - 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca ,Iraq,1,2,Belgium,A,Belgium, ,427,IRQ,BEL
1986,08 Jun 1986 - 16:00 ,Group E,Neza,Nezahualcoyotl ,Denmark,6,1,Uruguay,H,Denmark, ,522,DEN,URU
1986,08 Jun 1986 - 12:00 ,Group E,Estadio Corregidora,Queretaro ,Germany,2,1,Scotland,H,Germany, ,580,FRG,SCO
1986,09 Jun 1986 - 12:00 ,Group C,Nou Camp - Estadio Le�n,Leon ,Hungary,0,3,France,A,France, ,567,HUN,FRA
1986,09 Jun 1986 - 12:00 ,Group C,Estadio Irapuato,Irapuato ,Russia,2,0,Canada,H,Russia, ,476,URS,CAN
1986,10 Jun 1986 - 12:00 ,Group A,Cuauhtemoc,Puebla ,Korea Republic,2,3,Italy,A,Italy, ,643,KOR,ITA
1986,10 Jun 1986 - 12:00 ,Group A,Estadio Ol�mpico Universitario,Mexico City ,Argentina,2,0,Bulgaria,H,Argentina, ,389,ARG,BUL
1986,11 Jun 1986 - 12:00 ,Group B,Bombonera - Estadio Nemesio Diez,Toluca ,Paraguay,2,2,Belgium,D,Draw, ,429,PAR,BEL
1986,11 Jun 1986 - 12:00 ,Group B,Estadio Azteca,Mexico City ,Iraq,0,1,Mexico,A,Mexico, ,627,IRQ,MEX
1986,11 Jun 1986 - 16:00 ,Group F,Tres de Marzo,Guadalajara ,Portugal,1,3,Morocco,A,Morocco, ,675,POR,MAR
1986,11 Jun 1986 - 16:00 ,Group F,Tecnologico,Monterrey ,England,3,0,Poland,H,England, ,537,ENG,POL
1986,12 Jun 1986 - 12:00 ,Group D,Jalisco,Guadalajara ,Northern Ireland,0,3,Brazil,A,Brazil, ,441,NIR,BRA
1986,12 Jun 1986 - 12:00 ,Group D,Tecnologico,Monterrey ,Algeria,0,3,Spain,A,Spain, ,378,ALG,ESP
1986,13 Jun 1986 - 12:00 ,Group E,Neza,Nezahualcoyotl ,Scotland,0,0,Uruguay,D,Draw, ,712,SCO,URU
1986,13 Jun 1986 - 12:00 ,Group E,Estadio Corregidora,Queretaro ,Denmark,2,0,Germany,H,Denmark, ,512,DEN,FRG
1986,15 Jun 1986 - 16:00 ,Round of 16,Nou Camp - Estadio Le�n,Leon ,Russia,3,4,Belgium,A,Belgium,Belgium win after extra time ,432,URS,BEL
1986,15 Jun 1986 - 12:00 ,Round of 16,Estadio Azteca,Mexico City ,Mexico,2,0,Bulgaria,H,Mexico, ,463,MEX,BUL
1986,16 Jun 1986 - 16:00 ,Round of 16,Cuauhtemoc,Puebla ,Argentina,1,0,Uruguay,H,Argentina, ,398,ARG,URU
1986,16 Jun 1986 - 12:00 ,Round of 16,Jalisco,Guadalajara ,Brazil,4,0,Poland,H,Brazil, ,444,BRA,POL
1986,17 Jun 1986 - 12:00 ,Round of 16,Estadio Ol�mpico Universitario,Mexico City ,Italy,0,2,France,A,France, ,568,ITA,FRA
1986,17 Jun 1986 - 16:00 ,Round of 16,Estadio Universitario,Monterrey ,Morocco,0,1,Germany,A,Germany, ,574,MAR,FRG
1986,18 Jun 1986 - 12:00 ,Round of 16,Estadio Azteca,Mexico City ,England,3,0,Paraguay,H,England, ,536,ENG,PAR
1986,18 Jun 1986 - 16:00 ,Round of 16,Estadio Corregidora,Queretaro ,Denmark,1,5,Spain,A,Spain, ,511,DEN,ESP
1986,21 Jun 1986 - 12:00 ,Quarter-finals,Jalisco,Guadalajara ,Brazil,1,1,France,A,Draw,France win on penalties (3 - 4) ,440,BRA,FRA
1986,21 Jun 1986 - 16:00 ,Quarter-finals,Estadio Universitario,Monterrey ,Germany,0,0,Mexico,H,Draw,Germany win on penalties (4 - 1) ,575,FRG,MEX
1986,22 Jun 1986 - 16:00 ,Quarter-finals,Cuauhtemoc,Puebla ,Spain,1,1,Belgium,A,Draw,Belgium win on penalties (4 - 5) ,421,ESP,BEL
1986,22 Jun 1986 - 12:00 ,Quarter-finals,Estadio Azteca,Mexico City ,Argentina,2,1,England,H,Argentina, ,392,ARG,ENG
1986,25 Jun 1986 - 12:00 ,Semi-finals,Jalisco,Guadalajara ,France,0,2,Germany,A,Germany, ,564,FRA,FRG
1986,25 Jun 1986 - 16:00 ,Semi-finals,Estadio Azteca,Mexico City ,Argentina,2,0,Belgium,H,Argentina, ,388,ARG,BEL
1986,28 Jun 1986 - 12:00 ,Match for third place,Cuauhtemoc,Puebla ,France,4,2,Belgium,H,France,France win after extra time ,422,FRA,BEL
1986,29 Jun 1986 - 12:00 ,Final,Estadio Azteca,Mexico City ,Argentina,3,2,Germany,H,Argentina, ,393,ARG,FRG
1990,08 Jun 1990 - 18:00 ,Group B,Giuseppe Meazza,Milan ,Argentina,0,1,Cameroon,A,Cameroon, ,26,ARG,CMR
1990,09 Jun 1990 - 17:00 ,Group B,Stadio San Nicola,Bari ,Russia,0,2,Romania,A,Romania, ,342,URS,ROU
1990,09 Jun 1990 - 17:00 ,Group D,Renato Dall Ara,Bologna ,United Arab Emirates,0,2,Colombia,A,Colombia, ,119,UAE,COL
1990,09 Jun 1990 - 21:00 ,Group A,Stadio Olimpico,Rome ,Italy,1,0,Austria,H,Italy, ,42,ITA,AUT
1990,10 Jun 1990 - 17:00 ,Group A,Comunale,Florence ,USA,1,5,Czech Republic,A,Czech Republic, ,355,USA,TCH
1990,10 Jun 1990 - 21:00 ,Group C,Stadio delle Alpi,Turin ,Brazil,2,1,Sweden,H,Brazil, ,75,BRA,SWE
1990,10 Jun 1990 - 21:00 ,Group D,Giuseppe Meazza,Milan ,Germany,4,1,Yugoslavia,H,Germany, ,201,FRG,YUG
1990,11 Jun 1990 - 17:00 ,Group C,Luigi Ferraris,Genoa ,Costa Rica,1,0,Scotland,H,Costa Rica, ,127,CRC,SCO
1990,11 Jun 1990 - 21:00 ,Group F,Sant Elia,Cagliari ,England,1,1,Republic of Ireland,D,Draw, ,161,ENG,IRL
1990,12 Jun 1990 - 17:00 ,Group E,Marc Antonio Bentegodi,Verona ,Belgium,2,0,Korea Republic,H,Belgium, ,57,BEL,KOR
1990,12 Jun 1990 - 21:00 ,Group F,Della Favorita,Palermo ,Netherlands,1,1,Egypt,D,Draw, ,151,NED,EGY
1990,13 Jun 1990 - 17:00 ,Group E,Dacia Arena,Udine ,Uruguay,0,0,Spain,D,Draw, ,180,URU,ESP
1990,13 Jun 1990 - 21:00 ,Group B,San Paolo,Naples ,Argentina,2,0,Russia,H,Argentina, ,30,ARG,URS
1990,14 Jun 1990 - 17:00 ,Group B,Stadio San Nicola,Bari ,Cameroon,2,1,Romania,H,Cameroon, ,108,CMR,ROU
1990,14 Jun 1990 - 17:00 ,Group D,Renato Dall Ara,Bologna ,Yugoslavia,1,0,Colombia,H,Yugoslavia, ,120,YUG,COL
1990,14 Jun 1990 - 21:00 ,Group A,Stadio Olimpico,Rome ,Italy,1,0,USA,H,Italy, ,265,ITA,USA
1990,15 Jun 1990 - 17:00 ,Group A,Comunale,Florence ,Austria,0,1,Czech Republic,A,Czech Republic, ,43,AUT,TCH
1990,15 Jun 1990 - 21:00 ,Group D,Giuseppe Meazza,Milan ,Germany,5,1,United Arab Emirates,H,Germany, ,198,FRG,UAE
1990,16 Jun 1990 - 17:00 ,Group C,Stadio delle Alpi,Turin ,Brazil,1,0,Costa Rica,H,Brazil, ,73,BRA,CRC
1990,16 Jun 1990 - 21:00 ,Group C,Luigi Ferraris,Genoa ,Sweden,1,2,Scotland,A,Scotland, ,348,SWE,SCO
1990,16 Jun 1990 - 21:00 ,Group F,Sant Elia,Cagliari ,England,0,0,Netherlands,D,Draw, ,160,ENG,NED
1990,17 Jun 1990 - 17:00 ,Group F,Della Favorita,Palermo ,Republic of Ireland,0,0,Egypt,D,Draw, ,152,IRL,EGY
1990,17 Jun 1990 - 21:00 ,Group E,Dacia Arena,Udine ,Korea Republic,1,3,Spain,A,Spain, ,175,KOR,ESP
1990,17 Jun 1990 - 21:00 ,Group E,Marc Antonio Bentegodi,Verona ,Belgium,3,1,Uruguay,H,Belgium, ,66,BEL,URU
1990,18 Jun 1990 - 21:00 ,Group B,San Paolo,Naples ,Argentina,1,1,Romania,D,Draw, ,29,ARG,ROU
1990,18 Jun 1990 - 21:00 ,Group B,Stadio San Nicola,Bari ,Cameroon,0,4,Russia,A,Russia, ,111,CMR,URS
1990,19 Jun 1990 - 17:00 ,Group D,Giuseppe Meazza,Milan ,Germany,1,1,Colombia,D,Draw, ,114,FRG,COL
1990,19 Jun 1990 - 17:00 ,Group D,Renato Dall Ara,Bologna ,Yugoslavia,4,1,United Arab Emirates,H,Yugoslavia, ,364,YUG,UAE
1990,19 Jun 1990 - 21:00 ,Group A,Stadio Olimpico,Rome ,Italy,2,0,Czech Republic,H,Italy, ,263,ITA,TCH
1990,19 Jun 1990 - 21:00 ,Group A,Comunale,Florence ,Austria,2,1,USA,H,Austria, ,48,AUT,USA
1990,20 Jun 1990 - 21:00 ,Group C,Stadio delle Alpi,Turin ,Brazil,1,0,Scotland,H,Brazil, ,74,BRA,SCO
1990,20 Jun 1990 - 21:00 ,Group C,Luigi Ferraris,Genoa ,Sweden,1,2,Costa Rica,A,Costa Rica, ,128,SWE,CRC
1990,21 Jun 1990 - 17:00 ,Group E,Friuli,Udine ,Korea Republic,0,1,Uruguay,A,Uruguay, ,290,KOR,URU
1990,21 Jun 1990 - 17:00 ,Group E,Marc Antonio Bentegodi,Verona ,Belgium,1,2,Spain,A,Spain, ,56,BEL,ESP
1990,21 Jun 1990 - 21:00 ,Group F,Della Favorita,Palermo ,Republic of Ireland,1,1,Netherlands,D,Draw, ,228,IRL,NED
1990,21 Jun 1990 - 21:00 ,Group F,Sant Elia,Cagliari ,England,1,0,Egypt,H,England, ,150,ENG,EGY
1990,23 Jun 1990 - 17:00 ,Round of 16,San Paolo,Naples ,Cameroon,2,1,Colombia,H,Cameroon,Cameroon win after extra time ,102,CMR,COL
1990,23 Jun 1990 - 21:00 ,Round of 16,Stadio San Nicola,Bari ,Czech Republic,4,1,Costa Rica,H,Czech Republic, ,129,TCH,CRC
1990,24 Jun 1990 - 17:00 ,Round of 16,Stadio delle Alpi,Turin ,Brazil,0,1,Argentina,A,Argentina, ,25,BRA,ARG
1990,24 Jun 1990 - 21:00 ,Round of 16,Giuseppe Meazza,Milan ,Germany,2,1,Netherlands,H,Germany, ,196,FRG,NED
1990,25 Jun 1990 - 17:00 ,Round of 16,Luigi Ferraris,Genoa ,Republic of Ireland,0,0,Romania,H,Draw,Republic of Ireland win on penalties (5 - 4) ,248,IRL,ROU
1990,25 Jun 1990 - 21:00 ,Round of 16,Stadio Olimpico,Rome ,Italy,2,0,Uruguay,H,Italy, ,264,ITA,URU
1990,26 Jun 1990 - 17:00 ,Round of 16,Marc Antonio Bentegodi,Verona ,Spain,1,2,Yugoslavia,A,Yugoslavia,Yugoslavia win after extra time ,181,ESP,YUG
1990,26 Jun 1990 - 21:00 ,Round of 16,Renato Dall Ara,Bologna ,England,1,0,Belgium,H,England,England win after extra time ,55,ENG,BEL
1990,30 Jun 1990 - 17:00 ,Quarter-finals,Comunale,Florence ,Yugoslavia,0,0,Argentina,A,Draw, win on penalties (2 - 3) ,31,YUG,ARG
1990,30 Jun 1990 - 21:00 ,Quarter-finals,Stadio Olimpico,Rome ,Italy,1,0,Republic of Ireland,H,Italy, ,243,ITA,IRL
1990,01 Jul 1990 - 17:00 ,Quarter-finals,Giuseppe Meazza,Milan ,Germany,1,0,Czech Republic,H,Germany, ,197,FRG,TCH
1990,01 Jul 1990 - 21:00 ,Quarter-finals,San Paolo,Naples ,England,3,2,Cameroon,H,England,England win after extra time ,103,ENG,CMR
1990,03 Jul 1990 - 20:00 ,Semi-finals,San Paolo,Naples ,Italy,1,1,Argentina,A,Draw, win on penalties (3 - 4) ,28,ITA,ARG
1990,04 Jul 1990 - 20:00 ,Semi-finals,Stadio delle Alpi,Turin ,Germany,1,1,England,H,Draw, win on penalties (4 - 3) ,159,FRG,ENG
1990,07 Jul 1990 - 20:00 ,Match for third place,Stadio San Nicola,Bari ,Italy,2,1,England,H,Italy, ,162,ITA,ENG
1990,08 Jul 1990 - 20:00 ,Final,Stadio Olimpico,Rome ,Germany,1,0,Argentina,H,Germany, ,27,FRG,ARG
1994,17 Jun 1994 - 19:30 ,Group C,Cotton Bowl,Dallas ,Spain,2,2,Korea Republic,D,Draw, ,3050,ESP,KOR
1994,17 Jun 1994 - 15:00 ,Group C,Soldier Field,Chicago ,Germany,1,0,Bolivia,H,Germany, ,3049,GER,BOL
1994,18 Jun 1994 - 11:30 ,Group A,Pontiac Silverdome,Detroit ,USA,1,1,Switzerland,D,Draw, ,3051,USA,SUI
1994,18 Jun 1994 - 16:00 ,Group E,Giants Stadium,New York/New Jersey ,Italy,0,1,Republic of Ireland,A,Republic of Ireland, ,3052,ITA,IRL
1994,18 Jun 1994 - 19:30 ,Group A,Rose Bowl,Los Angeles ,Colombia,1,3,Romania,A,Romania, ,3053,COL,ROU
1994,19 Jun 1994 - 12:30 ,Group F,Citrus Bowl,Orlando ,Belgium,1,0,Morocco,H,Belgium, ,3054,BEL,MAR
1994,19 Jun 1994 - 16:00 ,Group E,RFK Stadium,Washington Dc ,Norway,1,0,Mexico,H,Norway, ,3055,NOR,MEX
1994,19 Jun 1994 - 19:30 ,Group B,Rose Bowl,Los Angeles ,Cameroon,2,2,Sweden,D,Draw, ,3056,CMR,SWE
1994,20 Jun 1994 - 19:30 ,Group F,RFK Stadium,Washington Dc ,Netherlands,2,1,Saudi Arabia,H,Netherlands, ,3058,NED,KSA
1994,20 Jun 1994 - 16:00 ,Group B,Stanford Stadium,San Francisco ,Brazil,2,0,Russia,H,Brazil, ,3057,BRA,RUS
1994,21 Jun 1994 - 12:30 ,Group D,Foxboro Stadium,Boston ,Argentina,4,0,Greece,H,Argentina, ,3059,ARG,GRE
1994,21 Jun 1994 - 19:30 ,Group D,Cotton Bowl,Dallas ,Nigeria,3,0,Bulgaria,H,Nigeria, ,3061,NGA,BUL
1994,21 Jun 1994 - 16:00 ,Group C,Soldier Field,Chicago ,Germany,1,1,Spain,D,Draw, ,3060,GER,ESP
1994,22 Jun 1994 - 16:00 ,Group A,Pontiac Silverdome,Detroit ,Romania,1,4,Switzerland,A,Switzerland, ,3062,ROU,SUI
1994,22 Jun 1994 - 19:30 ,Group A,Rose Bowl,Los Angeles ,USA,2,1,Colombia,H,USA, ,3063,USA,COL
1994,23 Jun 1994 - 16:00 ,Group E,Giants Stadium,New York/New Jersey ,Italy,1,0,Norway,H,Italy, ,3064,ITA,NOR
1994,23 Jun 1994 - 19:30 ,Group C,Foxboro Stadium,Boston ,Korea Republic,0,0,Bolivia,D,Draw, ,3065,KOR,BOL
1994,24 Jun 1994 - 12:30 ,Group E,Citrus Bowl,Orlando ,Mexico,2,1,Republic of Ireland,H,Mexico, ,3066,MEX,IRL
1994,24 Jun 1994 - 19:30 ,Group B,Pontiac Silverdome,Detroit ,Sweden,3,1,Russia,H,Sweden, ,3068,SWE,RUS
1994,24 Jun 1994 - 16:00 ,Group B,Stanford Stadium,San Francisco ,Brazil,3,0,Cameroon,H,Brazil, ,3067,BRA,CMR
1994,25 Jun 1994 - 12:30 ,Group F,Citrus Bowl,Orlando ,Belgium,1,0,Netherlands,H,Belgium, ,3069,BEL,NED
1994,25 Jun 1994 - 12:30 ,Group F,Giants Stadium,New York/New Jersey ,Saudi Arabia,2,1,Morocco,H,Saudi Arabia, ,3070,KSA,MAR
1994,25 Jun 1994 - 16:00 ,Group D,Foxboro Stadium,Boston ,Argentina,2,1,Nigeria,H,Argentina, ,3071,ARG,NGA
1994,26 Jun 1994 - 12:30 ,Group D,Soldier Field,Chicago ,Bulgaria,4,0,Greece,H,Bulgaria, ,3072,BUL,GRE
1994,26 Jun 1994 - 16:00 ,Group A,Rose Bowl,Los Angeles ,USA,0,1,Romania,A,Romania, ,3073,USA,ROU
1994,26 Jun 1994 - 16:00 ,Group A,Stanford Stadium,San Francisco ,Switzerland,0,2,Colombia,A,Colombia, ,3074,SUI,COL
1994,27 Jun 1994 - 16:00 ,Group C,Cotton Bowl,Dallas ,Germany,3,2,Korea Republic,H,Germany, ,3076,GER,KOR
1994,27 Jun 1994 - 16:00 ,Group C,Soldier Field,Chicago ,Bolivia,1,3,Spain,A,Spain, ,3075,BOL,ESP
1994,28 Jun 1994 - 12:30 ,Group E,Giants Stadium,New York/New Jersey ,Republic of Ireland,0,0,Norway,D,Draw, ,3077,IRL,NOR
1994,28 Jun 1994 - 16:00 ,Group B,Pontiac Silverdome,Detroit ,Brazil,1,1,Sweden,D,Draw, ,3080,BRA,SWE
1994,28 Jun 1994 - 12:30 ,Group E,RFK Stadium,Washington Dc ,Italy,1,1,Mexico,D,Draw, ,3078,ITA,MEX
1994,28 Jun 1994 - 16:00 ,Group B,Stanford Stadium,San Francisco ,Russia,6,1,Cameroon,H,Russia, ,3079,RUS,CMR
1994,29 Jun 1994 - 12:30 ,Group F,Citrus Bowl,Orlando ,Morocco,1,2,Netherlands,A,Netherlands, ,3081,MAR,NED
1994,29 Jun 1994 - 12:30 ,Group F,RFK Stadium,Washington Dc ,Belgium,0,1,Saudi Arabia,A,Saudi Arabia, ,3082,BEL,KSA
1994,30 Jun 1994 - 19:30 ,Group D,Foxboro Stadium,Boston ,Greece,0,2,Nigeria,A,Nigeria, ,3083,GRE,NGA
1994,30 Jun 1994 - 19:30 ,Group D,Cotton Bowl,Dallas ,Argentina,0,2,Bulgaria,A,Bulgaria, ,3084,ARG,BUL
1994,02 Jul 1994 - 12:00 ,Round of 16,Soldier Field,Chicago ,Germany,3,2,Belgium,H,Germany, ,3085,GER,BEL
1994,02 Jul 1994 - 16:30 ,Round of 16,RFK Stadium,Washington Dc ,Spain,3,0,Switzerland,H,Spain, ,3086,ESP,SUI
1994,03 Jul 1994 - 12:00 ,Round of 16,Cotton Bowl,Dallas ,Saudi Arabia,1,3,Sweden,A,Sweden, ,3087,KSA,SWE
1994,03 Jul 1994 - 13:30 ,Round of 16,Rose Bowl,Los Angeles ,Romania,3,2,Argentina,H,Romania, ,3088,ROU,ARG
1994,04 Jul 1994 - 12:00 ,Round of 16,Citrus Bowl,Orlando ,Netherlands,2,0,Republic of Ireland,H,Netherlands, ,3089,NED,IRL
1994,04 Jul 1994 - 12:30 ,Round of 16,Stanford Stadium,San Francisco ,Brazil,1,0,USA,H,Brazil, ,3090,BRA,USA
1994,05 Jul 1994 - 13:00 ,Round of 16,Foxboro Stadium,Boston ,Nigeria,1,2,Italy,A,Italy,Italy win after extra time ,3091,NGA,ITA
1994,05 Jul 1994 - 16:30 ,Round of 16,Giants Stadium,New York/New Jersey ,Mexico,1,1,Bulgaria,A,Draw,Bulgaria win on penalties (1 - 3) ,3092,MEX,BUL
1994,09 Jul 1994 - 12:00 ,Quarter-finals,Foxboro Stadium,Boston ,Italy,2,1,Spain,H,Italy, ,3097,ITA,ESP
1994,09 Jul 1994 - 14:30 ,Quarter-finals,Cotton Bowl,Dallas ,Netherlands,2,3,Brazil,A,Brazil, ,3098,NED,BRA
1994,10 Jul 1994 - 12:00 ,Quarter-finals,Giants Stadium,New York/New Jersey ,Bulgaria,2,1,Germany,H,Bulgaria, ,3096,BUL,GER
1994,10 Jul 1994 - 12:30 ,Quarter-finals,Stanford Stadium,San Francisco ,Romania,2,2,Sweden,A,Draw,Sweden win on penalties (4 - 5) ,3095,ROU,SWE
1994,13 Jul 1994 - 16:00 ,Semi-finals,Giants Stadium,New York/New Jersey ,Bulgaria,1,2,Italy,A,Italy, ,3100,BUL,ITA
1994,13 Jul 1994 - 16:30 ,Semi-finals,Rose Bowl,Los Angeles ,Sweden,0,1,Brazil,A,Brazil, ,3099,SWE,BRA
1994,16 Jul 1994 - 12:30 ,Match for third place,Rose Bowl,Los Angeles ,Sweden,4,0,Bulgaria,H,Sweden, ,3103,SWE,BUL
1994,17 Jul 1994 - 12:30 ,Final,Rose Bowl,Los Angeles ,Brazil,0,0,Italy,H,Draw,Brazil win on penalties (3 - 2) ,3104,BRA,ITA
1998,10 Jun 1998 - 17:30 ,Group A,Stade de France,Saint-Denis ,Brazil,2,1,Scotland,H,Brazil, ,4000,BRA,SCO
1998,10 Jun 1998 - 21:00 ,Group A,La Mosson,Montpellier ,Morocco,2,2,Norway,D,Draw, ,8725,MAR,NOR
